string,string_id,image_mean,image_median,image_latent_mean,subfreq_mean,subfreq_median,subfreq_latent_mean
obitelj,1,0.859413381587149,0.9435733873852392,0.018066856287438426,1.1351330758370302,1.6963455347561704,0.25753923969350634
mito,2,-0.5405866184128509,-1.0564266126147608,0.0857756930582716,-0.8068312098772554,-1.3036544652438296,-0.3709580455148269
uloga,3,-1.4405866184128513,-2.056426612614761,-0.4298542556917284,0.5564692827335818,0.6963455347561704,0.45007254948517295
foton,4,-1.1152992620910118,-1.0564266126147608,-0.30689863079589497,-1.432407246743615,-1.3036544652438296,-0.7960743174939937
inat,5,-1.8405866184128512,-2.056426612614761,-0.6572974806917284,-0.17111692416296975,-0.30365446524382955,0.02676666886017287
zastupanje,6,-0.9405866184128513,-1.0564266126147608,-0.09947131819172839,-0.5711169241629697,-0.30365446524382955,-0.20782732624399358
samoubojica,7,0.29274671492048254,0.9435733873852392,0.050203303787438536,-0.37111692416296993,-0.30365446524382955,-0.04456286301482759
ljuska,8,0.859413381587149,0.9435733873852392,0.020166656183271847,-0.27111692416296984,-0.30365446524382955,-0.011350252285660556
ulaz,9,0.9594133815871486,0.9435733873852392,-0.034554445275061685,1.1733275202814748,1.6963455347561704,0.6020221390685063
ubojstvo,10,0.6260800482538156,0.9435733873852392,0.19936643930827191,0.14267617928530596,0.6963455347561704,0.0913808278185062
duhovnost,11,-0.9072532850795176,-1.0564266126147608,-0.2567801459000618,-0.8377835908296367,-1.3036544652438296,-0.39503391020232703
avenija,12,-0.007253285079517724,0.4435733873852392,0.04928578930827188,-0.13778359082963654,-0.30365446524382955,-0.05302748895232723
teza,13,-2.073919951746184,-3.056426612614761,-0.7602560031917283,-0.5711169241629697,-0.30365446524382955,-0.21295721436899395
pomorac,14,0.55941338158714915,0.9435733873852392,-0.022756702150061425,-0.43778359082963636,-0.30365446524382955,-0.1614683053064936
posjetilac,15,0.6594133815871488,0.9435733873852392,-0.022771046108394977,-0.40445025749630314,-0.30365446524382955,-0.14852963384816054
savršenstvo,16,-0.8072532850795175,-1.0564266126147608,-0.08357427808756146,0.33602593297988737,0.19634553475617045,0.2995554799018394
konverzija,17,-1.707253285079518,-2.056426612614761,-0.5858772882958951,-1.0044502574963032,-1.3036544652438296,-0.4898788637439937
uzimanje,18,0.192746714920482,-0.056426612614760785,0.21978341014160518,0.7955497425036966,0.6963455347561704,0.38686141198517277
kontroler,19,0.059413381587148706,-0.056426612614760785,0.23829048451660517,-0.20445025749630297,-0.30365446524382955,-0.11706672978566024
poljubac,20,0.8260800482538158,0.9435733873852392,-0.059809103712562095,0.1994713111311479,-0.30365446524382955,0.17418799958933961
spodoba,21,-0.27391995174618433,-0.056426612614760785,0.17800807482910486,-1.0044502574963032,-1.3036544652438296,-0.4960406507231605
haljinica,22,0.9260800482538154,0.9435733873852392,-0.03745009558756163,-0.07111692416296966,-0.30365446524382955,0.030771360526839597
sjedenje,23,0.5927467149204824,0.9435733873852392,0.1353873749332717,1.3955497425036971,1.6963455347561704,0.17717784396433967
šum,24,0.22608004825381522,0.4435733873852392,0.09871585732910493,0.17715893790599546,0.6963455347561704,0.10991181979767273
prijenos,25,-0.4739199517461845,-0.5564266126147608,0.02706007128743826,0.21275404357896566,-0.30365446524382955,0.26683432083933933
disk,26,0.6594133815871488,0.9435733873852392,0.16495656191243846,-0.02111692416296984,-0.30365446524382955,0.10569315292267278
intencija,27,-1.8405866184128512,-2.056426612614761,-0.6143395340250617,-1.4377835908296366,-2.3036544652438296,-0.7743278379106604
rođenje,28,0.32608004825381576,0.9435733873852392,0.12043419816243839,-0.03778359082963645,-0.30365446524382955,0.15198005938100634
magistar,29,-0.8405866184128512,-1.0564266126147608,-0.09844466246256145,0.02888307583702998,0.19634553475617045,0.10342392833933944
čovječanstvo,30,0.059413381587148706,-0.056426612614760785,0.13959932180827161,0.12888307583703007,0.6963455347561704,0.039279828651839654
pješačenje,31,0.6260800482538156,0.9435733873852392,0.005501398787438383,0.8622164091703639,0.6963455347561704,0.49626900115183936
ušće,32,0.4260800482538154,0.9435733873852392,0.06949254878743849,-1.0377835908296364,-1.3036544652438296,-0.5262453430148271
mrlja,33,1.0594133815871491,0.9435733873852392,-0.07866085829589498,0.8360259329798869,0.6963455347561704,0.38649573386017266
odjava,34,-0.10725328507951781,-0.056426612614760785,0.1123105440999379,0.6955497425036969,0.6963455347561704,0.34334356219350637
zbrinjavanje,35,-1.0739199517461846,-1.0564266126147608,-0.23678948308756143,-0.43778359082963636,-0.30365446524382955,-0.14206296166066057
zaljubljenik,36,-0.0739199517461846,-0.056426612614760785,0.05110615368327176,-0.47801347588710774,-0.30365446524382955,-0.19049026426482696
konstatacija,37,-2.073919951746184,-3.056426612614761,-0.7755336577750618,-0.47801347588710774,-0.30365446524382955,-0.19040854832732723
